друг	determiner	mkd	друг	determiner	bul
фреквенција	noun	mkd	фреквентност	noun	bul
централизација	noun	mkd	централизация	noun	bul
јурисдикција	noun	mkd	юрисдикция	noun	bul
боледување	noun	mkd	боледуване	noun	bul
борење	noun	mkd	борба	noun	bul
ветување	noun	mkd	обещание	noun	bul
влегување	noun	mkd	влизане	noun	bul
вложување	noun	mkd	влагане	noun	bul
влошување	noun	mkd	влошаване	noun	bul
возење	noun	mkd	шофиране	noun	bul
вооружување	noun	mkd	въоръжаване	noun	bul
гарантирање	noun	mkd	гарантиране	noun	bul
генерирање	noun	mkd	генериране	noun	bul
гонење	noun	mkd	преследване	noun	bul
греење	noun	mkd	отопление	noun	bul
губење	noun	mkd	губене	noun	bul
депортирање	noun	mkd	депортиране	noun	bul
дефинирање	noun	mkd	дефиниране	noun	bul
дејствување	noun	mkd	действие	noun	bul
доаѓање	noun	mkd	пристигане	noun	bul
домување	noun	mkd	настаняване	noun	bul
донесување	noun	mkd	приемане	noun	bul
доцнење	noun	mkd	бавене	noun	bul
емитување	noun	mkd	емитиране	noun	bul
жалење	noun	mkd	съжаление	noun	bul
забавување	noun	mkd	забавяне	noun	bul
загрозување	noun	mkd	застрашаване	noun	bul
задржување	noun	mkd	задържане	noun	bul
заживување	noun	mkd	съживяване	noun	bul
замрзнување	noun	mkd	замразяване	noun	bul
заокружување	noun	mkd	приключване	noun	bul
запирање	noun	mkd	спиране	noun	bul
заплашување	noun	mkd	заплашване	noun	bul
засилување	noun	mkd	засилване	noun	bul
затајување	noun	mkd	укриване	noun	bul
затоплување	noun	mkd	затопляне	noun	bul
земање	noun	mkd	вземане	noun	bul
игнорирање	noun	mkd	игнориране	noun	bul
идентификување	noun	mkd	идентифициране	noun	bul
избегнување	noun	mkd	избягване	noun	bul
избивање	noun	mkd	избиване	noun	bul
изведување	noun	mkd	извеждане	noun	bul
известување	noun	mkd	известие	noun	bul
извинување	noun	mkd	извинение	noun	bul
извршување	noun	mkd	извършване	noun	bul
изготвување	noun	mkd	изготвяне	noun	bul
излегување	noun	mkd	излизане	noun	bul
изнаоѓање	noun	mkd	намиране	noun	bul
изненадување	noun	mkd	изненада	noun	bul
изјаснување	noun	mkd	изясняване	noun	bul
именување	noun	mkd	именуване	noun	bul
инвестирање	noun	mkd	инвестиране	noun	bul
интензивирање	noun	mkd	ускоряване	noun	bul
информирање	noun	mkd	информиране	noun	bul
исклучување	noun	mkd	изключване	noun	bul
ископување	noun	mkd	изкопаване	noun	bul
искоренување	noun	mkd	изкореняване	noun	bul
искористување	noun	mkd	използване	noun	bul
истекување	noun	mkd	изтичане	noun	bul
истребување	noun	mkd	изтребване	noun	bul
казнување	noun	mkd	наказване	noun	bul
киднапирање	noun	mkd	отвличане	noun	bul
комплетирање	noun	mkd	приключване	noun	bul
контраразузнавање	noun	mkd	контраразузнаване	noun	bul
координирање	noun	mkd	координиране	noun	bul
крадење	noun	mkd	крадене	noun	bul
кревање	noun	mkd	вдигане	noun	bul
криење	noun	mkd	укриване	noun	bul
лечење	noun	mkd	лечение	noun	bul
лизгање	noun	mkd	пързаляне	noun	bul
лоцирање	noun	mkd	откриване	noun	bul
мачење	noun	mkd	изтезаване	noun	bul
местење	noun	mkd	местене	noun	bul
мирување	noun	mkd	прекратяване	noun	bul
модернизирање	noun	mkd	модернизиране	noun	bul
наметнување	noun	mkd	налагане	noun	bul
наоѓање	noun	mkd	откриване	noun	bul
немање	noun	mkd	немане	noun	bul
несогласување	noun	mkd	несъгласуване	noun	bul
обештетување	noun	mkd	обещетение	noun	bul
објаснување	noun	mkd	обяснение	noun	bul
овластување	noun	mkd	правомощие	noun	bul
овозможување	noun	mkd	подпомагане	noun	bul
оданочување	noun	mkd	облагане	noun	bul
одвојување	noun	mkd	отделяне	noun	bul
одземање	noun	mkd	отчуждаване	noun	bul
освојување	noun	mkd	спечелване	noun	bul
основање	noun	mkd	основаване	noun	bul
остварување	noun	mkd	постижение	noun	bul
отфрлање	noun	mkd	отхвърляне	noun	bul
отцепување	noun	mkd	отцепване	noun	bul
охрабрување	noun	mkd	насърчаване	noun	bul
пензионирање	noun	mkd	пенсиониране	noun	bul
пиење	noun	mkd	пиене	noun	bul
пишување	noun	mkd	писане	noun	bul
пливање	noun	mkd	плуване	noun	bul
поврзување	noun	mkd	свързване	noun	bul
подигање	noun	mkd	повдигане	noun	bul
поднесување	noun	mkd	предаване	noun	bul
покачување	noun	mkd	покачване	noun	bul
покренување	noun	mkd	разследване	noun	bul
покривање	noun	mkd	покриване	noun	bul
помагање	noun	mkd	помагане	noun	bul
помилување	noun	mkd	помилване	noun	bul
поништување	noun	mkd	анулиране	noun	bul
попречување	noun	mkd	спъване	noun	bul
поседување	noun	mkd	притежание	noun	bul
посредување	noun	mkd	посредничество	noun	bul
поставување	noun	mkd	поставяне	noun	bul
постоење	noun	mkd	съществуване	noun	bul
поткопување	noun	mkd	подкупване	noun	bul
почитување	noun	mkd	почитане	noun	bul
појавување	noun	mkd	появяване	noun	bul
пребројување	noun	mkd	преброяване	noun	bul
прегласување	noun	mkd	прегласуване	noun	bul
предвидување	noun	mkd	предвиждане	noun	bul
предизвикување	noun	mkd	предизвикване	noun	bul
преместување	noun	mkd	преместване	noun	bul
претепување	noun	mkd	побой	noun	bul
претседавање	noun	mkd	председателстване	noun	bul
претседателствување	noun	mkd	председателстване	noun	bul
претставување	noun	mkd	представяне	noun	bul
привлекување	noun	mkd	привличане	noun	bul
придвижување	noun	mkd	придвижване	noun	bul
приклучување	noun	mkd	приключване	noun	bul
прикривање	noun	mkd	прикриване	noun	bul
прилагодување	noun	mkd	адаптиране	noun	bul
примање	noun	mkd	вземане	noun	bul
прислушување	noun	mkd	подслушване	noun	bul
пристигнување	noun	mkd	пристигане	noun	bul
продлабочување	noun	mkd	задълбочаване	noun	bul
протекување	noun	mkd	изтичане	noun	bul
протерување	noun	mkd	прогонване	noun	bul
пукање	noun	mkd	стрелба	noun	bul
работење	noun	mkd	работене	noun	bul
разгледување	noun	mkd	разглеждане	noun	bul
разрешување	noun	mkd	освобождаване	noun	bul
раководење	noun	mkd	ръководене	noun	bul
рангирање	noun	mkd	класиране	noun	bul
распишување	noun	mkd	насрочване	noun	bul
расчистување	noun	mkd	разчистване	noun	bul
реализирање	noun	mkd	реализиране	noun	bul
регистрирање	noun	mkd	регистриране	noun	bul
регрутирање	noun	mkd	наемане	noun	bul
регулирање	noun	mkd	регулиране	noun	bul
реновирање	noun	mkd	реновиране	noun	bul
самоопределување	noun	mkd	самоопределяне	noun	bul
самоопределување	noun	mkd	самоопределяне	noun	bul
сведочење	noun	mkd	свидетелстване	noun	bul
свикување	noun	mkd	свикване	noun	bul
сеќавање	noun	mkd	почитане	noun	bul
сирење	noun	mkd	сирене	noun	bul
скијање	noun	mkd	ски-спорт	noun	bul
слетување	noun	mkd	приземяване	noun	bul
сместување	noun	mkd	подслоняване	noun	bul
смирување	noun	mkd	успокояване	noun	bul
собирање	noun	mkd	събиране	noun	bul
соборување	noun	mkd	сваляне	noun	bul
соочување	noun	mkd	справяне	noun	bul
сопнување	noun	mkd	спъване	noun	bul
сослушување	noun	mkd	изслушване	noun	bul
составување	noun	mkd	съставяне	noun	bul
спојување	noun	mkd	сливане	noun	bul
спротивставување	noun	mkd	противопоставяне	noun	bul
стабилизирање	noun	mkd	стабилизиране	noun	bul
суспендирање	noun	mkd	отлагане	noun	bul
тестирање	noun	mkd	тестване	noun	bul
трошење	noun	mkd	харчене	noun	bul
убивање	noun	mkd	убийство	noun	bul
усогласување	noun	mkd	хармонизиране	noun	bul
хармонизирање	noun	mkd	хармонизиране	noun	bul
фалсификување	noun	mkd	фашифициране	noun	bul
фаќање	noun	mkd	хващане	noun	bul
финализирање	noun	mkd	финализиране	noun	bul
фрлање	noun	mkd	хвърляне	noun	bul
функционирање	noun	mkd	функциониране	noun	bul
чекање	noun	mkd	чакане	noun	bul
ширење	noun	mkd	разпространение	noun	bul
јадење	noun	mkd	ястие	noun	bul
јаглен	noun	mkd	въглища	noun	bul
јаже	noun	mkd	въже	noun	bul
јазик	noun	mkd	език	noun	bul
јануари	noun	mkd	януари	noun	bul
јачина	noun	mkd	мощност	noun	bul
јајце	noun	mkd	яйце	noun	bul
јен	noun	mkd	йена	noun	bul
јули	noun	mkd	юли	noun	bul
јуни	noun	mkd	юни	noun	bul
Дејтонскиот мировен договор	noun	mkd	Дейтънското мирно споразумение	noun	bul
рихтерова скала	noun	mkd	скала на Рихтер	noun	bul
агенда	noun	mkd	дневен ред	noun	bul
акционен план	noun	mkd	план за действие	noun	bul
божиќ	noun	mkd	рождество христово	noun	bul
возило	noun	mkd	превозно средство	noun	bul
животна средина	noun	mkd	околна среда	noun	bul
безбедносна сила	noun	mkd	сила за сигурност	noun	bul
живина	noun	mkd	домашна птица	noun	bul
несоработка	noun	mkd	липса на сътрудничество	noun	bul
гас со ефект на стаклена бавча	noun	mkd	парников газ	noun	bul
мандатор	noun	mkd	кандидат за министър-председател	noun	bul
недвижност	noun	mkd	недвижимо имущество	noun	bul
аквис	noun	mkd	европейско законодателство	noun	bul
пресвртница	noun	mkd	крайъгълен камък	noun	bul
затворска казна	noun	mkd	лишаване от свобода	noun	bul
зелено светло	noun	mkd	зелена светлина	noun	bul
уметничко лизгање	noun	mkd	фигурно пързаляне	noun	bul
извршен директор	noun	mkd	изпълнителен директор	noun	bul
новинската агенција Анадолу	noun	mkd	Анадолската информационна агенция	noun	bul
потерница	noun	mkd	заповед за арест	noun	bul
потсекретар	noun	mkd	заместник секретар	noun	bul
премин	noun	mkd	граничен пункт	noun	bul
тревник	noun	mkd	тревна площ	noun	bul
пункт	noun	mkd	пункт	noun	bul
самит	noun	mkd	среща на върха	noun	bul
судење	noun	mkd	съдебен процес	noun	bul
судство	noun	mkd	съдебна власт	noun	bul
физибилити студија	noun	mkd	предпроектно проучване	noun	bul
ќор сокак	noun	mkd	безизходица	noun	bul
ќор-сокак	noun	mkd	безизходица	noun	bul
авторство	noun	mkd	авторство	noun	bul
аграрство	noun	mkd	аграрство	noun	bul
актерство	noun	mkd	актьорство	noun	bul
акушерство	noun	mkd	акушерство	noun	bul
акционерство	noun	mkd	акционерство	noun	bul
алкохоличарство	noun	mkd	алкохолизъм	noun	bul
аматерство	noun	mkd	аматьорство	noun	bul
апостолство	noun	mkd	апостолство	noun	bul
аптекарство	noun	mkd	аптекарство	noun	bul
архиварство	noun	mkd	архиварство	noun	bul
архиепископство	noun	mkd	архиепископство	noun	bul
ајдутство	noun	mkd	хайдутство	noun	bul
банкарство	noun	mkd	банкерство	noun	bul
безумство	noun	mkd	безумство	noun	bul
берберство	noun	mkd	берберство	noun	bul
беспокојство	noun	mkd	безпокойство	noun	bul
библиотекарство	noun	mkd	библиотекарство	noun	bul
благородство	noun	mkd	благородство	noun	bul
блаженство	noun	mkd	блаженство	noun	bul
блудство	noun	mkd	блудство	noun	bul
богатство	noun	mkd	богатство	noun	bul
богомилство	noun	mkd	богомилство	noun	bul
богомолство	noun	mkd	богомолство	noun	bul
богохулство	noun	mkd	богохулство	noun	bul
божество	noun	mkd	божество	noun	bul
бојаџиство	noun	mkd	бояджийство	noun	bul
братоубиство	noun	mkd	братоубийство	noun	bul
брашнарство	noun	mkd	брашнарство	noun	bul
бубарство	noun	mkd	бубарство	noun	bul
вегетаријанство	noun	mkd	вегетарианство	noun	bul
везирство	noun	mkd	везирство	noun	bul
величество	noun	mkd	величество	noun	bul
вероломство	noun	mkd	вероломство	noun	bul
ветеринарство	noun	mkd	ветеринарство	noun	bul
визионерство	noun	mkd	визионерство	noun	bul
винарство	noun	mkd	винарство	noun	bul
високопреосвештенство	noun	mkd	високопреосвещенство	noun	bul
височество	noun	mkd	височество	noun	bul
владичество	noun	mkd	владичество	noun	bul
воајерство	noun	mkd	воайорство	noun	bul
водостопанство	noun	mkd	водостопанство	noun	bul
воздејство	noun	mkd	въздействие	noun	bul
воздухопловство	noun	mkd	въздухоплаване	noun	bul
воинство	noun	mkd	воинство	noun	bul
волнарство	noun	mkd	вълнарство	noun	bul
волшепство	noun	mkd	вълшебство	noun	bul
војводство	noun	mkd	войводство	noun	bul
говедарство	noun	mkd	говедарство	noun	bul
големство	noun	mkd	големство	noun	bul
господарство	noun	mkd	господарство	noun	bul
господство	noun	mkd	господство	noun	bul
гостоприемство	noun	mkd	гостоприемство	noun	bul
готварство	noun	mkd	готварство	noun	bul
готованство	noun	mkd	готованство	noun	bul
градинарство	noun	mkd	градинарство	noun	bul
граѓанство	noun	mkd	гражданство	noun	bul
гркоманство	noun	mkd	гръкоманство	noun	bul
грнчарство	noun	mkd	грънчарство	noun	bul
грубијанство	noun	mkd	грубиянство	noun	bul
гурбетчиство	noun	mkd	гурбетчийство	noun	bul
дворјанство	noun	mkd	дворянство	noun	bul
девство	noun	mkd	девственост	noun	bul
дежурство	noun	mkd	дежурство	noun	bul
дезертерство	noun	mkd	дезертьорство	noun	bul
деловодство	noun	mkd	деловодство	noun	bul
деспотство	noun	mkd	деспотство	noun	bul
детинство	noun	mkd	детинство	noun	bul
диктаторство	noun	mkd	диктатура	noun	bul
директорство	noun	mkd	директорство	noun	bul
диригентство	noun	mkd	диригентство	noun	bul
добрососедство	noun	mkd	добросъседство	noun	bul
домаќинство	noun	mkd	домакинство	noun	bul
донкихотство	noun	mkd	донкихотство	noun	bul
достоинство	noun	mkd	достойнство	noun	bul
дрводелство	noun	mkd	дърводелство	noun	bul
другарство	noun	mkd	другарство	noun	bul
духовенство	noun	mkd	духовенство	noun	bul
едноженство	noun	mkd	едноженство	noun	bul
електростопанство	noun	mkd	електростопанство	noun	bul
епикурејство	noun	mkd	епикурейство	noun	bul
епископство	noun	mkd	епископство	noun	bul
ергенство	noun	mkd	ергенство	noun	bul
еснафство	noun	mkd	еснафство	noun	bul
железарство	noun	mkd	железарство	noun	bul
женкарство	noun	mkd	женкарство	noun	bul
жителство	noun	mkd	жителство	noun	bul
жонглерство	noun	mkd	жонгльорство	noun	bul
заболекарство	noun	mkd	зъболекарство	noun	bul
занаетчиство	noun	mkd	занаятчийство	noun	bul
златарство	noun	mkd	златарство	noun	bul
зографство	noun	mkd	зографство	noun	bul
идиотство	noun	mkd	идиотство	noun	bul
идолопоклонство	noun	mkd	идолопоклоничество	noun	bul
изгнанство	noun	mkd	изгнание	noun	bul
изобилство	noun	mkd	изобилство	noun	bul
иконоборство	noun	mkd	иконоборство	noun	bul
илегалство	noun	mkd	нелегалност	noun	bul
инженерство	noun	mkd	инженерство	noun	bul
инспекторство	noun	mkd	инспекторство	noun	bul
кавалерство	noun	mkd	кавалерство	noun	bul
кавгаџиство	noun	mkd	кавгаджийство	noun	bul
калуѓерство	noun	mkd	калугерство	noun	bul
каменоделство	noun	mkd	каменоделство	noun	bul
качество	noun	mkd	качество	noun	bul
килимарство	noun	mkd	килимарство	noun	bul
кметство	noun	mkd	кметство	noun	bul
книговодство	noun	mkd	книговодство	noun	bul
книгоиздателство	noun	mkd	книгоиздателство	noun	bul
книжарство	noun	mkd	книжарство	noun	bul
коварство	noun	mkd	коварство	noun	bul
кожарство	noun	mkd	кожарство	noun	bul
кожодерство	noun	mkd	кожодерство	noun	bul
козарство	noun	mkd	козарство	noun	bul
кокетство	noun	mkd	кокетство	noun	bul
коларство	noun	mkd	коларство	noun	bul
колекционерство	noun	mkd	колекционерство	noun	bul
количество	noun	mkd	количество	noun	bul
количина	noun	mkd	количество	noun	bul
командантство	noun	mkd	командантство	noun	bul
комесарство	noun	mkd	комесарство	noun	bul
консулство	noun	mkd	консулство	noun	bul
концесионерство	noun	mkd	концесионерство	noun	bul
коњарство	noun	mkd	конярство	noun	bul
краварство	noun	mkd	краварство	noun	bul
кралство	noun	mkd	кралство	noun	bul
крводарителство	noun	mkd	кръводарителство	noun	bul
кривоверство	noun	mkd	кривоверство	noun	bul
кулинарство	noun	mkd	кулинарство	noun	bul
кумство	noun	mkd	кумство	noun	bul
лакејство	noun	mkd	лакейство	noun	bul
лакомство	noun	mkd	лакомство	noun	bul
леарство	noun	mkd	леярство	noun	bul
левичарство	noun	mkd	левичарство	noun	bul
лезбејство	noun	mkd	лебийство	noun	bul
лекарство	noun	mkd	лекарство	noun	bul
лидерство	noun	mkd	лидерство	noun	bul
лихварство	noun	mkd	лихварство	noun	bul
лицемерство	noun	mkd	лицемерство	noun	bul
лозарство	noun	mkd	лозарство	noun	bul
лукавство	noun	mkd	лукавство	noun	bul
лутеранство	noun	mkd	лютеранство	noun	bul
малолетство	noun	mkd	малолетство	noun	bul
манекенство	noun	mkd	манекенство	noun	bul
мародерство	noun	mkd	мародерство	noun	bul
масонство	noun	mkd	масонство	noun	bul
мајсторство	noun	mkd	майсторство	noun	bul
мајчинство	noun	mkd	майчинство	noun	bul
медијаторство	noun	mkd	медиаторство	noun	bul
менаџерство	noun	mkd	мениджърство	noun	bul
менторство	noun	mkd	менторство	noun	bul
месарство	noun	mkd	месарство	noun	bul
местожителство	noun	mkd	местожителство	noun	bul
миротворство	noun	mkd	миротворство	noun	bul
мисионерство	noun	mkd	мисионерство	noun	bul
млекарство	noun	mkd	млекарство	noun	bul
многуженство	noun	mkd	многоженство	noun	bul
множество	noun	mkd	множество	noun	bul
моминство	noun	mkd	моминство	noun	bul
морепловство	noun	mkd	мореплаване	noun	bul
мормонство	noun	mkd	мормонство	noun	bul
муслиманство	noun	mkd	мюсюлманство	noun	bul
муфтиство	noun	mkd	мюфтийство	noun	bul
мухамеданство	noun	mkd	мохамеданство	noun	bul
началство	noun	mkd	началство	noun	bul
неверство	noun	mkd	неверство	noun	bul
неединство	noun	mkd	неединство	noun	bul
незадоволство	noun	mkd	незадоволство	noun	bul
непријателство	noun	mkd	неприятелство	noun	bul
неспокојство	noun	mkd	неспокойство	noun	bul
неудопство	noun	mkd	неудобство	noun	bul
новаторство	noun	mkd	новаторство	noun	bul
новинарство	noun	mkd	новинарство	noun	bul
ножарство	noun	mkd	ножарство	noun	bul
овоштарство	noun	mkd	овощарство	noun	bul
овчарство	noun	mkd	овчарство	noun	bul
општество	noun	mkd	общество	noun	bul
ораторство	noun	mkd	ораторство	noun	bul
оризарство	noun	mkd	оризарство	noun	bul
отсуство	noun	mkd	отсъствие	noun	bul
офицерство	noun	mkd	офицерство	noun	bul
паганство	noun	mkd	езичество	noun	bul
папство	noun	mkd	папство	noun	bul
паразитство	noun	mkd	паразитство	noun	bul
пасторство	noun	mkd	пасторство	noun	bul
печалбарство	noun	mkd	печалбарство	noun	bul
печатарство	noun	mkd	печатарство	noun	bul
пионерство	noun	mkd	пионерство	noun	bul
пиратство	noun	mkd	пиратство	noun	bul
писарство	noun	mkd	писарство	noun	bul
писателство	noun	mkd	писателство	noun	bul
пијанство	noun	mkd	пиянство	noun	bul
планинарство	noun	mkd	планинарство	noun	bul
плебејство	noun	mkd	плебейство	noun	bul
поданство	noun	mkd	поданство	noun	bul
позерство	noun	mkd	позьорство	noun	bul
познанство	noun	mkd	познанство	noun	bul
политиканство	noun	mkd	политиканство	noun	bul
политикантство	noun	mkd	политикантство	noun	bul
полнолетство	noun	mkd	пълнолетие	noun	bul
полубожество	noun	mkd	полубожество	noun	bul
потомство	noun	mkd	потомство	noun	bul
правосудство	noun	mkd	правосъдие	noun	bul
првородство	noun	mkd	първородство	noun	bul
превосходство	noun	mkd	превъзходство	noun	bul
предимство	noun	mkd	предимство	noun	bul
премиерство	noun	mkd	премиерство	noun	bul
преосвештенство	noun	mkd	преосвещенство	noun	bul
претчувство	noun	mkd	предчувствие	noun	bul
преустројство	noun	mkd	преустройство	noun	bul
пријателство	noun	mkd	приятелство	noun	bul
произвотство	noun	mkd	производство	noun	bul
проклетство	noun	mkd	проклетство	noun	bul
просветителство	noun	mkd	просветителство	noun	bul
пространство	noun	mkd	пространство	noun	bul
протестантство	noun	mkd	протестантство	noun	bul
противдејство	noun	mkd	противодействие	noun	bul
професорство	noun	mkd	професорство	noun	bul
пуританство	noun	mkd	пуританство	noun	bul
пчеларство	noun	mkd	пчеларство	noun	bul
равенство	noun	mkd	равенство	noun	bul
ракоделство	noun	mkd	ръкоделие	noun	bul
растројство	noun	mkd	разстройство	noun	bul
ратајство	noun	mkd	ратайство	noun	bul
рационализаторство	noun	mkd	рационализаторство	noun	bul
реакционерство	noun	mkd	реакционерство	noun	bul
револуционерство	noun	mkd	революционерство	noun	bul
регентство	noun	mkd	регентство	noun	bul
резбарство	noun	mkd	резбарство	noun	bul
ренегатство	noun	mkd	ренегатство	noun	bul
рентиерство	noun	mkd	рентиерство	noun	bul
репортерство	noun	mkd	репортерство	noun	bul
рибарство	noun	mkd	рибарство	noun	bul
риболовство	noun	mkd	риболов	noun	bul
рицарство	noun	mkd	рицарство	noun	bul
робовладетелство	noun	mkd	робовладетелство	noun	bul
родителство	noun	mkd	родителство	noun	bul
роднинство	noun	mkd	роднинство	noun	bul
родство	noun	mkd	родство	noun	bul
рождество	noun	mkd	рождество	noun	bul
ропство	noun	mkd	робство	noun	bul
рударство	noun	mkd	рударство	noun	bul
русофопство	noun	mkd	русофобство	noun	bul
саботерство	noun	mkd	саботьорство	noun	bul
самарјанство	noun	mkd	самарянство	noun	bul
самозадоволство	noun	mkd	самозадоволство	noun	bul
самоубиство	noun	mkd	самоубиство	noun	bul
самочувство	noun	mkd	високомерие	noun	bul
сватовство	noun	mkd	сватовство	noun	bul
свештенство	noun	mkd	свещенство	noun	bul
свидетелство	noun	mkd	свидетелство	noun	bul
свињарство	noun	mkd	свинарство	noun	bul
својство	noun	mkd	свойство	noun	bul
секретарство	noun	mkd	секретарство	noun	bul
семенарство	noun	mkd	семенарство	noun	bul
сестринство	noun	mkd	сестринство	noun	bul
синоубиство	noun	mkd	синоубиство	noun	bul
слаткарство	noun	mkd	сладкарство	noun	bul
словенофилство	noun	mkd	словенофилство	noun	bul
словенофопство	noun	mkd	словенофобство	noun	bul
сметководство	noun	mkd	сметководство	noun	bul
снобовство	noun	mkd	снобизъм	noun	bul
совршенство	noun	mkd	съвършенство	noun	bul
содејство	noun	mkd	съдействие	noun	bul
сожителство	noun	mkd	съжителство	noun	bul
соизвршителство	noun	mkd	съизвършителство	noun	bul
соодветство	noun	mkd	съответствие	noun	bul
соседство	noun	mkd	съседство	noun	bul
спокојство	noun	mkd	спокойствие	noun	bul
спонзорство	noun	mkd	спонсорство	noun	bul
србоманство	noun	mkd	сърбоманство	noun	bul
србофилство	noun	mkd	сърбофилство	noun	bul
србофопство	noun	mkd	сърбофобство	noun	bul
сродство	noun	mkd	сродство	noun	bul
стакларство	noun	mkd	стъкларство	noun	bul
старателство	noun	mkd	старателство	noun	bul
стихотворство	noun	mkd	стихотворство	noun	bul
столарство	noun	mkd	столарство	noun	bul
стопанство	noun	mkd	стопанство	noun	bul
стругарство	noun	mkd	стругарство	noun	bul
студентство	noun	mkd	студентство	noun	bul
суфлерство	noun	mkd	суфльорство	noun	bul
суштество	noun	mkd	същество	noun	bul
таинство	noun	mkd	тайнство	noun	bul
тиранство	noun	mkd	тиранство	noun	bul
тржество	noun	mkd	тържество	noun	bul
удопство	noun	mkd	удобство	noun	bul
упорство	noun	mkd	упорство	noun	bul
устројство	noun	mkd	устройство	noun	bul
учебникарство	noun	mkd	учебникарство	noun	bul
учителство	noun	mkd	учителство	noun	bul
фантазерство	noun	mkd	фантазьорство	noun	bul
фармерство	noun	mkd	фермерство	noun	bul
фракционерство	noun	mkd	фракционерство	noun	bul
херојство	noun	mkd	геройство	noun	bul
хотелиерство	noun	mkd	хотелиерство	noun	bul
христијанство	noun	mkd	християнство	noun	bul
царство	noun	mkd	царство	noun	bul
цвеќарство	noun	mkd	цветарство	noun	bul
цензура	noun	mkd	цензура	noun	bul
часовничарство	noun	mkd	часовникарство	noun	bul
чедоубиство	noun	mkd	чедоубиство	noun	bul
човекојадство	noun	mkd	човекоядство	noun	bul
чорбаџиство	noun	mkd	чорбаджийство	noun	bul
чувство	noun	mkd	чувство	noun	bul
чудотворство	noun	mkd	чудотворство	noun	bul
чуство	noun	mkd	чувство	noun	bul
шапкарство	noun	mkd	шапкарство	noun	bul
шарлатанство	noun	mkd	шарлатанство	noun	bul
шегаџиство	noun	mkd	шегаджийство	noun	bul
ѓаконство	noun	mkd	дяконство	noun	bul
ѕверство	noun	mkd	зверство	noun	bul
ѕидарство	noun	mkd	зидарство	noun	bul
јаничарство	noun	mkd	еничарство	noun	bul
јединство	noun	mkd	единство	noun	bul
љубителство	noun	mkd	любителство	noun	bul
љубопитство	noun	mkd	любопитство	noun	bul
нешто	noun	mkd	нещо	noun	bul
автентичност	noun	mkd	автентичност	noun	bul
автономност	noun	mkd	автономност	noun	bul
ангажираност	noun	mkd	ангажираност	noun	bul
анонимност	noun	mkd	анонимност	noun	bul
бавност	noun	mkd	бавнота	noun	bul
безнадежност	noun	mkd	безнадеждност	noun	bul
благодарност	noun	mkd	благодарност	noun	bul
бременост	noun	mkd	бременност	noun	bul
бруталност	noun	mkd	бруталност	noun	bul
будност	noun	mkd	будност	noun	bul
веројатност	noun	mkd	вероятност	noun	bul
видливост	noun	mkd	видимост	noun	bul
вклученост	noun	mkd	включеност	noun	bul
воздржаност	noun	mkd	въздържаност	noun	bul
воинственост	noun	mkd	воинственост	noun	bul
воодушевеност	noun	mkd	въодушевеност	noun	bul
генијалност	noun	mkd	гениалност	noun	bul
гледаност	noun	mkd	гледаност	noun	bul
глупост	noun	mkd	глупост	noun	bul
гордост	noun	mkd	гордост	noun	bul
гостопримливост	noun	mkd	гостоприемие	noun	bul
готовност	noun	mkd	готовност	noun	bul
двосмисленост	noun	mkd	двусмислица	noun	bul
двојазичност	noun	mkd	двоезичност	noun	bul
двојазничност	noun	mkd	двуезничие	noun	bul
дејност	noun	mkd	дейност	noun	bul
директност	noun	mkd	директност	noun	bul
доминантност	noun	mkd	доминантност	noun	bul
достапност	noun	mkd	достъпност	noun	bul
древност	noun	mkd	древност	noun	bul
државност	noun	mkd	държавност	noun	bul
државотворност	noun	mkd	државотворност	noun	bul
единственост	noun	mkd	единственост	noun	bul
еднаквност	noun	mkd	еднаквност	noun	bul
еднаквост	noun	mkd	еднаквост	noun	bul
едногласност	noun	mkd	едногласност	noun	bul
економичност	noun	mkd	икономичност	noun	bul
екстравагантност	noun	mkd	екстравагантност	noun	bul
ефективност	noun	mkd	ефективност	noun	bul
жалост	noun	mkd	жалост	noun	bul
зависност	noun	mkd	зависимост	noun	bul
загриженост	noun	mkd	загриженост	noun	bul
задоволност	noun	mkd	задоволност	noun	bul
задолженост	noun	mkd	задълженост	noun	bul
заинтересираност	noun	mkd	заинтересованост	noun	bul
замореност	noun	mkd	умора	noun	bul
запуштеност	noun	mkd	запуштеност	noun	bul
знаменитост	noun	mkd	знаменитост	noun	bul
зрелост	noun	mkd	зрелост	noun	bul
изложеност	noun	mkd	изложеност	noun	bul
изолираност	noun	mkd	изолираност	noun	bul
изопаченост	noun	mkd	изопаченост	noun	bul
индиферентност	noun	mkd	безразличие	noun	bul
инкомпетентност	noun	mkd	инкомпетентност	noun	bul
иновативност	noun	mkd	иновативност	noun	bul
информираност	noun	mkd	информираност	noun	bul
истоштеност	noun	mkd	изтощение	noun	bul
квалификуваност	noun	mkd	квалифицираност	noun	bul
компетентност	noun	mkd	компетентност	noun	bul
конзистентност	noun	mkd	консистентност	noun	bul
конкурентост	noun	mkd	конкурентост	noun	bul
конкуретност	noun	mkd	конкуретност	noun	bul
контрадикторност	noun	mkd	противоречие	noun	bul
контроверзност	noun	mkd	спорност	noun	bul
концентрираност	noun	mkd	концентрираност	noun	bul
корумпираност	noun	mkd	корумпираност	noun	bul
креативност	noun	mkd	креативност	noun	bul
легалност	noun	mkd	легалност	noun	bul
